Date,Open,High,Low,Close,Volume
2020-01-21T09:15:00,179.3,180.2,178.25,180.15,173897
2020-01-21T09:25:00,180.0,181.3,180.0,180.5,175277
2020-01-21T09:35:00,180.5,181.05,180.25,180.55,110920
2020-01-21T09:45:00,180.55,181.5,180.05,181.35,80456
2020-01-21T09:55:00,181.35,181.65,181.0,181.3,73996
2020-01-21T10:05:00,181.3,181.5,180.35,180.6,32035
2020-01-21T10:15:00,180.6,180.7,180.15,180.3,40860
2020-01-21T10:25:00,180.3,180.3,179.7,179.7,57684
2020-01-21T10:35:00,179.7,180.1,178.9,179.9,113474
2020-01-21T10:45:00,179.9,180.3,179.55,180.1,34538
2020-01-21T10:55:00,180.3,180.7,180.05,180.55,71028
2020-01-21T11:05:00,180.55,181.35,180.45,181.25,49148
2020-01-21T11:15:00,181.3,181.4,180.95,180.95,35764
2020-01-21T11:25:00,180.95,181.0,180.4,181.0,19776
2020-01-21T11:35:00,181.0,181.25,180.95,181.1,18050
2020-01-21T11:45:00,181.1,181.15,180.75,180.75,12889
2020-01-21T11:55:00,180.75,181.35,180.5,181.3,30396
2020-01-21T12:05:00,181.3,181.5,180.7,181.0,48005
2020-01-21T12:15:00,181.0,181.25,180.85,181.05,12393
2020-01-21T12:25:00,181.05,181.2,180.85,181.05,36184
2020-01-21T12:35:00,181.05,181.25,180.95,181.1,45689
2020-01-21T12:45:00,181.1,181.1,180.45,180.45,12227
2020-01-21T12:55:00,180.45,180.85,180.4,180.8,19877
2020-01-21T13:05:00,180.8,180.9,180.5,180.5,16411
2020-01-21T13:15:00,180.5,180.7,180.45,180.5,17087
2020-01-21T13:25:00,180.5,180.5,179.7,179.8,60957
2020-01-21T13:35:00,179.8,180.05,179.65,179.8,37827
2020-01-21T13:45:00,179.85,179.9,179.6,179.85,24826
2020-01-21T13:55:00,179.85,180.1,179.65,179.75,16544
2020-01-21T14:05:00,179.75,179.75,179.4,179.45,17187
2020-01-21T14:15:00,179.45,179.8,179.1,179.15,56703
2020-01-21T14:25:00,179.1,179.5,179.0,179.5,35880
2020-01-21T14:35:00,179.5,180.3,179.3,179.4,72107
2020-01-21T14:45:00,179.35,179.45,179.1,179.3,21875
2020-01-21T14:55:00,179.25,179.55,179.25,179.35,28185
2020-01-21T15:05:00,179.35,179.5,179.0,179.45,72008
2020-01-21T15:15:00,179.45,179.6,178.9,179.05,185583
2020-01-21T15:25:00,179.05,179.1,178.8,179.05,66741
2020-01-22T09:15:00,180.0,181.8,179.5,179.7,197833
2020-01-22T09:25:00,179.7,180.2,179.0,179.15,78918
